,Charge Code,Description,Default CPT/HCPCS Code,2023 Primary Price
1938,26518,"FUSION MC-P JOINT,3-4 DIGITS",26518,9730.0
1939,26390,"EXCIS FLEX TEND HAND,IMPL ROD,DELAY GRFT",26390,9719.0
1940,42509,"PAROTID DUCT DIVERT,EXC BISUBMAND",42509,9711.0
1941,26123,"PART PALMAR FASCIEC,OPEN 1 DIGIT",26123,9708.0
1942,21275,REVISION ORBITOFACIAL BONES,21275,9707.0
1943,24155,RESECTION OF ELBOW JOINT,24155,9705.0
1944,22100,"REMV PART POST CERV VERT,1 LVL",22100,9699.0
1945,39545,REVISION OF DIAPHRAGM,39545,9697.0
1946,25332,ARTHROPLASTY WRIST JT,25332,9685.0
1947,14061,"ADJ TISS XFER LID,NOS,EAR 10.1-30 SQCM",14061,9680.0
1948,20664,APPLY HALO 6/> PINS THIN SKULL OSTEOLOGY,20664,9680.0
1949,29883,"KNEE SCOPE,MED+LAT MENIS REPAIR",29883,9672.0
1950,26352,"REPAIR FLEXOR TENDON,HAND,W/ GRAFT,EA",26352,9671.0
1951,38745,REMOVE ARMPITS LYMPH NODES COMPLT,38745,9668.0
1952,33974,REMV AORTIC BALLOON FROM ASC AORT,33974,9667.0
1953,25805,FUSION/SLIDING GRAFT WRIST JOINT,25805,9666.0
1954,26499,CORRECT CLAW FINGER,26499,9666.0
1955,22101,"REMV PART POST THOR VERT,1 LVL",22101,9654.0
1956,32662,THORACOSCOPY SURG EXC MEDIAST MASS,32662,9652.0
1957,59514,CESAREAN DELIVERY ONLY,59514,9639.0
1958,62142,REMOVE SKULL PLATE/FLAP,62142,9633.0
1959,27386,"FIX QUAD/HAMSTR MUSC RUPT,SECOND",27386,9623.0
1960,34530,SAPHENOPOP VEIN ANAST,34530,9616.0
1961,63664,"REVISION SPINAL NEUROSTIM ELECTRODE PLATE/PADDLE,",63664,9615.0
1962,21210,"NASAL,MAXILLA,MALAR BONE GRAFT",21210,9612.0
1963,30460,REVIS NOSE/CLEFT LIP/TIP,30460,9612.0
1964,67250,REINFORCE SCLERA EYE,67250,9611.0
1965,24579,OPEN TX HUMERAL CONDYLAR FRACTURE,24579,9606.0
1966,26517,"FUSION MC-P JOINT,2 DIGITS",26517,9603.0
1967,25447,REPAIR INTERCARP/CARP-METACARP JT,25447,9600.0
1968,50900,REPAIR OF URETER,50900,9599.0
1969,59612,"VAG DELIV ONLY,PREV C-SECTN",59612,9596.0
1970,27438,ARTHROPLASTY PATELLA WITH IMPLANT,27438,9595.0
1971,57265,PR COMBO ANT/POST COLPORR+ENTEROCELE INC CYSTO,57265,9593.0
1972,62351,IMPLANT SPINAL CATH W LAMINECT,62351,9593.0
1973,27881,AMPUTATION LOW LEG+STAT FITTING,27881,9579.0
1974,31420,REMOVAL OF EPIGLOTTIS,31420,9577.0
1975,26485,TRANSPLANT PALM TENDON,26485,9575.0
1976,53420,"RECONSTRUC PROS URETHRA,1ST STAGE",53420,9572.0
1977,57426,REVISION PROSTHETIC VAGINAL GRAFT LAPAROSCOPIC,57426,9570.0
1978,61626,PERCUT CATH OCCLUSN NON CNS LESN,61626,9558.0
1979,44620,CLOSE ENTEROSTOMY,44620,9551.0
1980,61790,STEREO TREAT TRIGEMINAL NERVE,61790,9551.0
1981,44010,"DUODENOTOMY FOR EXPLOR,BX,FB REMOV",44010,9550.0
1982,26415,"EXCIS EXT TEND HAND,IMPL ROD,DELAY GRFT",26415,9549.0
1983,26844,"FUSION 2-5 CARPOMETACARPAL JT,GRAFT",26844,9549.0
1984,25927,AMPUTATION TRANSMETACARPAL,25927,9548.0
1985,44960,"APPENDECTOMY,RUPT APPENDX+ABSCESS",44960,9543.0
1986,33244,"RMV PACER/ELECTRD,TRANSVEN EXTRCT",33244,9542.0
1987,69667,REPAIR ROUND WINDOW FISTULA,69667,9538.0
1988,21060,REMV JAW JOINT CARTILAGE,21060,9529.0
1989,65103,REMOVE EYE W IMPLANT,65103,9527.0
1990,25608,"OPEN RX DISTAL RADIUS FX, INTRA-ARTICULAR, 2 FRAG",25608,9517.0
1991,59136,"RX ECTOP PREG,UTER WALL,PART HYSTREC",59136,9517.0
1992,67316,"STABISMUS SURG,2+ VERT MUSCLE",67316,9513.0
1993,61886,"IMP STIM,CRANIAL,SUBQ,>1 ARRAY",61886,9511.0
1994,69666,REPAIR OVAL WINDOW FISTULA,69666,9510.0
1995,33020,INCIS HEART SAC REMV CLOT/FB,33020,9500.0
1996,58770,CREATE NEW TUBAL OPENING,58770,9497.0
1997,24800,FUSION OF ELBOW JOINT,24800,9497.0
1998,27640,PARTIAL REMOVAL OF TIBIA,27640,9497.0
1999,27090,REMOVAL OF HIP PROSTHESIS,27090,9495.0
2000,27894,"DECOMPRESS LEG,ANT/LAT & POST",27894,9495.0
2001,66184,REVJ SHUNT EXTRAOCULAR RESERVOIR W/O GRAFT,66184,9485.0
2002,32120,"THORACOTOMY,POSTOP COMPLICATNS",32120,9480.0
2003,27418,REPAIR ANTER TIBIAL TUBERCLE,27418,9477.0
2004,93229,EXT MOBILE CV TELEMETRY W/TECHNICAL SUPPORT,93229,9474.0
2005,68750,CREATE CONJUNC-NASAL FISTULA+STENT,68750,9473.0
2006,28615,OPEN TREATMENT TARSOMETATARSAL JOINT DISLOCATION,28615,9471.0
2007,65920,"REMVL,IMPLANT MATERIAL,ANT SEGMENT,EYE",65920,9469.0
2008,39540,REPAIR DIAPHR HERNIA TRAUMA ACUTE,39540,9468.0
2009,42425,"EXC PAROTD,TOTAL,SACRIFICE 5TH NERV",42425,9466.0
2010,69650,STAPES MOBILIZATION,69650,9459.0
2011,25444,RECONSTRUCT LUNATE W PROSTHESIS,25444,9454.0
2012,66850,"REMV LENS MATERIAL,PHACOFRAGMT",66850,9454.0
2013,35180,"RECONG AV FIST,HEAD/NECK",35180,9453.0
2014,24400,OSTEOTOMY HUMERUS,24400,9452.0
2015,35321,THROMBOENDARTECTMY AXILLARY-BRACH,35321,9436.0
2016,27100,XFER ABD MUSC TO GR TROCHANTER,27100,9436.0
2017,24582,PERCUT FIXATN HUMERAL CONDYLAR FX,24582,9432.0
2018,32666,THORACOSCOPY W/THERA WEDGE RESEXN INITIAL UNILAT,32666,9428.0
2019,51992,"LAP,SLING OPERATION",51992,9417.0
2020,27441,PLASTY TIBIAL PLATEAU+DEBRIDE,27441,9414.0
2021,66982,XCAPSL CTRC RMVL INSJ IO LENS PROSTH CPLX WO ECP,66982,9413.0
2022,52649,LASER ENUCLEATION PROSTATE W MORCELLATION,52649,9411.0
2023,47100,WEDGE BIOPSY OF LIVER,47100,9408.0
2024,23410,"REPAIR ROTATOR CUFF,ACUTE",23410,9408.0
2025,21088,PREP FACE/ORAL PROST FACIAL,21088,9406.0
2026,51900,"CLOSE BLADDER/VAGINA FISTULA,ABDOM",51900,9403.0
2027,15240,"FULL THICK GRFT HEAD,FAC,HAND <20SQC",15240,9402.0
2028,23480,OSTEOTOMY CLAVICLE,23480,9374.0
2029,49402,REMOVE PERITONEAL FOREIGN BODY,49402,9370.0
2030,61250,"BURR HOLE SUPRATENTOR, EXPLORE",61250,9365.0
2031,26541,"FIX COLLAT LIG,MC-P JT,GRAFT",26541,9364.0
2032,21390,"REPAIR EYE BLOWOUT,PERIORB+IMPLNT",21390,9362.0
2033,64790,EXCISE MAJOR PERIPH NEUROFIBROMA,64790,9362.0
2034,26356,"REPAIR FLEX TENDON,ZONE 2,HAND",26356,9361.0
2035,44110,"EXCIS BOWEL LESION(S),SINGLE ENTEROTOMY",44110,9359.0
2036,39200,EXC MEDIASTINAL CYST,39200,9353.0
2037,42955,SURGICAL OPENING OF PHARYNX,42955,9345.0
2038,54312,"HYPOSPADIUS REPAIR,2ND STAGE,>3CM",54312,9344.0
2039,21208,AUGMENT FACIAL BONES,21208,9338.0
2040,27357,REMV BENIGN FEMUR LESN/AUTOGRAFT,27357,9338.0
2041,66940,"EXTRACT LENS,EXTRACAPSULAR",66940,9337.0
2042,29863,"HIP SCOPE/REMV BODY,SYNOVECTOMY",29863,9335.0
2043,26494,HYPOTHENAR MUSC TRANSFER,26494,9333.0
2044,39501,REPAIR DIAPHRAGM LACERATION,39501,9329.0
2045,29862,"HIP SCOPE/REMV BODY,PLASTY/RESECTN",29862,9329.0
2046,31075,"EXPLOR FRONT SINUS,TRANSORBIT,UNI",31075,9328.0
2047,25442,RECONSTRUCT DIST ULNA W PROSTHESIS,25442,9327.0
2048,26852,"FUSION MC-P JT,GRAFT",26852,9327.0
2049,27540,OPEN TX INTERCONDYLAR SPINE/TUBRST FRACTURE KNEE,27540,9325.0
2050,42725,"INC/DRAIN RETROPHARYNG ABSCESS,EXT",42725,9323.0
2051,21122,RECONST CHIN SLIDE MULTIP OSTEOTMY,21122,9322.0
2052,28261,"CAPSULOTOMY MIDFOOT,TENDN LENGTH",28261,9322.0
2053,66825,REPOSITION INTRAOCULAR LENS W INCIS,66825,9320.0
2054,27435,"POST CAPSULAR RELEASE,KNEE",27435,9315.0
2055,26490,REVISE THUMB TENDON,26490,9305.0
2056,27443,PLASTY TIB PLAT/FEM CONDY+DEBRIDE,27443,9303.0
2057,63662,"REMOVE SPINAL NEUROSTIM ELECTRODE PLATE/PADDLE, IN",63662,9302.0
2058,45172,"EXCIS RECTAL TUMOR, TRANSANAL, FULL THICKNESS",45172,9296.0
2059,38760,REMOVE GROIN LYMPH NODES SUPERF,38760,9295.0
2060,34501,"REPAIR VALVE, FEMORAL VEIN",34501,9288.0
2061,64910,NERVE REPAIR W/ALLOGRAFT OR SYNTH,64910,9287.0
2062,40843,"RECONSTRUC MOUTH POSTER,BILAT",40843,9284.0
2063,54125,"REMOVAL PENIS,TOTAL",54125,9277.0
2064,22102,"REMV PART POST LUMB VERT,1 LVL",22102,9267.0
2065,64836,SUTURE 1 NERVE ULNAR MOTOR,64836,9267.0
2066,64835,SUTURE 1 NERVE MEDIAN MOTOR THENAR,64835,9265.0
2067,58543,"LAP, SUPRACERVIAL HYSTERECTOMY, >250G",58543,9259.0
2068,58260,"VAGINAL HYSTERECTOMY,UTERUS 250 GMS/<",58260,9253.0
2069,49654,"LAP, INCISIONAL HERNIA REPAIR,REDUCIBLE",49654,9252.0
2070,53447,"REMOVAL & REPLACE,INFLATABLE SPHINCTER",53447,9230.0
2071,44300,PLACEMENT ENTEROSTOMY/CECOSTOMY TUBE OPEN,44300,9224.0
2072,35266,"REBL VES GRAFT,UP EXTREM",35266,9223.0
2073,27381,"FIX PATELLA TENDN,SECONDARY",27381,9222.0
2074,27066,"EXCISISON BONE CYST BENIGN TUMOR,PELVIS/HIP,DEEP",27066,9218.0
2075,21387,"REPAIR EYE BLOWOUT,COMBINED",21387,9216.0
2076,25400,REPAIR NONUNION RADIUS OR ULNA,25400,9216.0
2077,66985,INSERT LENS PROSTHESIS ONLY,66985,9212.0
2078,54405,"INSERT,INFLATABLE PENILE PROSTHESIS",54405,9210.0
2079,37182,INSERT TRANSVEN INTRAHEP PORTOSYS SHUNT,37182,9209.0
2080,15819,"PLASTIC SURGERY, NECK",15819,9202.0
2081,26820,"THUMB FUSION WITH GRAFT,IN OPPOSITN",26820,9196.0
2082,44820,EXCISION OF MESENTERY LESION,44820,9194.0
2083,26842,"FUSION 1ST CARPOMETACARPAL JT,GRAFT",26842,9191.0
2084,63655,"SURG IMPLNT NEUROELECT,EPIDURAL",63655,9191.0
2085,57545,"REMV CERV STUMP,ABD,FIX PELV FLOOR",57545,9189.0
2086,65135,"LATE OCUL IMPLNT POST ENUCL,NO MUSC",65135,9188.0
2087,33259,"ABLATE/ RECONSTUCT ATRIA, W OTHER PROCED EXTENS W/",33259,9183.0
2088,43605,"BIOPSY OF STOMACH,BY LAPAROTOMY",43605,9182.0
2089,65820,RELIEVE INNER EYE PRESSURE,65820,9181.0
2090,65101,REMOVAL OF EYE,65101,9176.0
2091,57284,PARAVAGINAL DEFECT REPAIR OPEN ABDOMINAL APPROACH,57284,9172.0
2092,15836,"EXCISE EXCESS SKIN TISSUE,ARM",15836,9168.0
2093,58542,"LAP, SUPRACERVIAL HYSTERECTOMY W/ TUBE&OV, <250G",58542,9158.0
2094,34841,ENDOVASC VISCER AORTA REPAIR FENEST 1 ENDOGRAFT,34841,9155.0
2095,34842,ENDOVASC VISCER AORTA REPAIR FENEST 2 ENDOGRAFT,34842,9155.0
2096,34843,ENDOVASC VISCER AORTA REPAIR FENEST 3 ENDOGRAFT,34843,9155.0
2097,34844,ENDOVASC VISCER AORTA REPR FENEST 4+ ENDOGRAFT,34844,9155.0
2098,34845,VISCER AND INFRARENAL ABDOM AORTA 1 PROSTHESIS,34845,9155.0
2099,34846,VISCER AND INFRARENAL ABDOM AORTA 2 PROSTHESIS,34846,9155.0
2100,34847,VISCER AND INFRARENAL ABDOM AORTA 3 PROSTHESIS,34847,9155.0
2101,34848,VISCER AND INFRARENAL ABDOM AORTA 4+ PROSTHESIS,34848,9155.0
2102,26260,RAD RESEC PROX/MID PHALANX,26260,9155.0
2103,32664,THORACOSCOPY SURG THOR SYMPATHECT,32664,9144.0
2104,54900,"ANAST EPIDIDYMIS-VAS DEFERENS,UNILAT",54900,9141.0
2105,30160,EXCISION OF NOSE,30160,9141.0
2106,64802,"SYMPATHECTOMY,CERVICAL",64802,9139.0
2107,33237,REMV EPICARD SYST TWO LD/THORACOTMY,33237,9137.0
2108,27503,CLOSED RX CONDYLAR FX+MANIP,27503,9137.0
2109,68745,CREATE CONJUNC-NASAL FISTULA,68745,9137.0
2110,53400,"REVISE URETHRA, 1ST STAGE",53400,9135.0
2111,15922,EXC COCCYX/ULCER W FLAP CLOS,15922,9132.0
2112,54380,"REPAIR PENIS,EPISPADIUS",54380,9128.0
2113,27848,OPEN RX ANKLE DISLOCATN+FIXATN,27848,9127.0
2114,57292,CONSTRUCT ARTIFIC VAGINA W GRAFT,57292,9123.0
2115,38700,"REMOVAL NODES, NECK,SUPRAHYOID",38700,9115.0
2116,27440,ARTHROPLASTY TIBIAL PLATEAU,27440,9114.0
2117,49900,SUTURE ABD WALL-DEHIS/EVISCER,49900,9111.0
2118,22830,EXPLORATION OF SPINAL FUSION,22830,9110.0
2119,30150,PARTIAL EXCISION OF NOSE,30150,9105.0
2120,19371,PR PERI IMPLNT REMOVAL OF BREAST CAPS,19371,9104.0
2121,54111,"EXCIS PENILE PLAQUE,GRAFT <5 CM",54111,9101.0
2122,30118,EXCIS/DEST INTRANAS LESION; EXT APP,30118,9101.0
2123,62230,"REPLACEMENT/REVISION,CSF SHUNT",62230,9100.0
2124,25525,OPEN RDL SHAFT FX CLOSED RAD/ULN JT DISLOCATE,25525,9097.0
2125,23155,"EXCIS BENIG TUMR PROX HUMER,AUTOGRFT",23155,9087.0
2126,38770,REMOVE PELVIS LYMPH NODES,38770,9086.0
2127,90954,"ESRD SERVICES, PER MONTH, 2-11 YR OLD, 4+ VISITS",90954,9083.0
2128,31040,EXPLOR PTERYGOMAXILL FOSSA,31040,9075.0
2129,68720,CREATE TEAR SAC-NASAL FISTULA,68720,9070.0
2130,59100,"OPEN UTERUS,ABD FOR MOLE,ABORTN",59100,9068.0
2131,53515,"REPAIR URETHRA INJ,PENILE,PROSTATC",53515,9068.0
2132,27407,"REPAIR CRUCIATE LIGAMENT,KNEE",27407,9065.0
2133,65130,LATE OCULAR IMPLANT POST EVISC,65130,9065.0
2134,13160,SECD CLOS SURG WND EXTEN/COMPLIC,13160,9063.0
2135,58760,FIMBRIOPLASTY,58760,9039.0
2136,53444,INSERTION TANDEM CUFF (DUAL),53444,9037.0
2137,54408,"REPAIR,INFLATABLE PENILE PROSTHESIS",54408,9036.0
2138,14041,"ADJ TISS XFER HEAD,FAC,HAND 10.1-30 SQCM",14041,9028.0
2139,64823,"SYMPATHECTOMY,SUPERFICIAL PALMAR ARCH",64823,9028.0
2140,93653,COMPRE EP EVAL ABLTJ 3D MAPG TX SVT,93653,9023.0
2141,57270,"REPAIR ENTEROCELE,ABD APPRCH",57270,9020.0
2142,25431,"REPAIR NONUNION CARPAL BONE,EACH",25431,9015.0
2143,26480,TRANSPLANT HAND TENDON,26480,9010.0
2144,28725,"FUSION FOOT BONES,SUBTALAR",28725,9009.0
2145,26370,"REPAIR PROFUNDUS TENDON,PRIMARY",26370,9001.0
2146,19380,REVISE BREAST RECONSTRUCTION,19380,8997.0
2147,29855,"TIBIAL SCOPE/SURG/FX AID,UNICONDYLR",29855,8995.0
2148,23630,OPEN RX GR TUBEROSITY FX,23630,8987.0
2149,53442,REVISION OF SLING FOR MALE INCONT,53442,8987.0
2150,58410,SUSPENSN UTERUS+PRESACRAL SYMPATHEC,58410,8985.0
2151,21076,PREP FACE/ORAL PROST OBTURATOR,21076,8982.0
2152,54680,RELOCATION OF TESTIS(ES),54680,8981.0
2153,31201,"REMOV ETHMOID SINUS,INTRANASAL,TOTL",31201,8979.0
2154,66920,"EXTRACT LENS,INTRACAPSULAR",66920,8976.0
2155,21339,REPAIR NASOETHMOID FX+EXTERN FIXATN,21339,8972.0
2156,43327,ESOPHAGOGASTRIC FUNDOPLASTY PARTIAL OR COMPLETE; L,43327,8970.0
2157,28735,"FUSION FOOT BONES,MIDTARSAL,OSTEOTMY",28735,8958.0
2158,25394,"OSTEOPLASTY,CARPAL BONE,SHORTEN",25394,8955.0
2159,21423,"OPEN TX LEFORTE I,COMPLICATED",21423,8953.0
2160,26428,"REPAIR EXT TEND,CENT SLIP,SEC,W/ GRFT",26428,8944.0
2161,25443,RECONSTRUCT SCAPHOID CARPAL W PROSTHESIS,25443,8941.0
2162,25024,"DECOMP FOREARM,2 COMPART,W/O DEBRIDE",25024,8940.0
2163,25825,FUSION/GRAFT INTERCARPAL,25825,8933.0
2164,24331,"FLEXORPLASTY,ELBOW,EXTENSOR ADVANCMT",24331,8929.0
2165,26548,"FIX FINGER,VOLAR PLATE,I-P JT",26548,8927.0
2166,27742,STOP GROWTH PROX/DIST TIB/FIB+FEMUR,27742,8926.0
2167,54322,"HYPOSPAD REPAIR,1 STAGE,DISTAL",54322,8901.0
2168,35860,"EXPLOR POSTOP BLEED,INFEC,CLOT-EXTR",35860,8900.0
2169,24320,"TENOPLASTY,ELB-SHLDR,MUSC XFER,SINGL",24320,8900.0
2170,22847,ANTERIOR INSTRUMENTATION 8/> VERTEBRAL SEGMENTS,22847,8897.0
2171,24342,"REINSERT BI/TRICEPS TENDON,DISTAL",24342,8895.0
2172,51535,"CYSTOTOMY,REPAIR URETEROCELE",51535,8887.0
2173,51841,"ANTER VESICOURETHROPEXY,COMPLIC",51841,8884.0
2174,64912,NERVE REPAIR W/NERVE ALLOGRAFT FIRST STRAND,64912,8878.0
2175,25440,REPAIR NONUNION SCAPHOID CARPAL BONE,25440,8873.0
2176,27448,OSTEOTOMY FEMUR SHAFT/SUPRACONDY,27448,8873.0
2177,64818,"SYMPATHECTOMY,LUMBAR",64818,8867.0
2178,25390,"OSTEOPLASTY,RADIUS OR ULNA,SHORTEN",25390,8863.0
2179,21385,"REPAIR EYE BLOWOUT,TRANSANTRAL",21385,8852.0
2180,35226,"REBL VES DIRECT,LOW EXTREM",35226,8846.0
2181,99471,INITIAL PED CRITICAL CARE 29 DAY THRU 24 MO,99471,8843.0
2182,27814,OPEN TREATMENT BIMALLEOLAR ANKLE FRACTURE,27814,8840.0
2183,23406,"INCISE TENDON/MUSCLE,SHLDR,MULTIPLE",23406,8834.0
2184,66983,"REMV CATARACT INTRACAP,INSERT LENS",66983,8833.0
2185,31805,"REPAIR TRACH WOUND/INJ,INTRATHORACI",31805,8832.0
2186,24930,"RE-AMPUTATN ARM,THRU HUMERUS",24930,8831.0
2187,25931,RE-AMPUTATION TRANSMETACARPAL,25931,8828.0
2188,43130,"REMOV ESOPHAG DIVERTIC,CERV APPRCH",43130,8816.0
2189,19316,SUSPENSION OF BREAST,19316,8816.0
2190,21010,INCISION OF JAW JOINT,21010,8812.0
2191,58673,"LAP,SALPINGOSTOMY",58673,8808.0
2192,25315,REVISE PALSY HAND TENDON(S),25315,8801.0
2193,58520,"REPAIR RUPTURED UTERUS,NON OBSTECTR",58520,8800.0
2194,28264,CAPSULOTOMY MIDTARSAL,28264,8798.0
2195,25115,"RAD EXCIS WRIST SYNOV/TENDON,FLEXOR",25115,8796.0
2196,37218,TCATH STENT PLACEMT ANTEGRADE CAROTID/INNOMINATE,37218,8793.0
2197,55875,"PERCUT/NEEDLE INSERT,PROSTATE,RADIOISOT",55875,8793.0
2198,26596,EXCISION CONSTRICT FINGR TISSUE,26596,8792.0
2199,49255,REMOVAL OF OMENTUM,49255,8790.0
2200,42235,REPAIR ANTER PALATE W VOMER FLAP,42235,8783.0
2201,58570,LAPAROSCOPY W TOT HYSTERECT UTERUS 250 GRAM OR LES,58570,8783.0
2202,51530,"CYSTOTOMY,EXCIS BLADDER TUMOR",51530,8780.0
2203,53210,"REMOVAL OF URETHRA,FEMALE",53210,8777.0
2204,27638,"EXCIS BENIGN LESN,TIB/FIB+ALLOGRFT",27638,8774.0
2205,33956,ECMO/ECLS INSJ OF CENTRAL CANNULA 6 YRS & OLDER,33956,8773.0
2206,64713,"NEUROPLASTY BRACHIAL PLEXUS,OPEN",64713,8773.0
2207,39560,"RESECT DIAPHRAM,SIMPLE REPAIR",39560,8772.0
2208,22315,"CLOSED TREAT VERT BODY FX,MANIPULATN",22315,8772.0
2209,15574,"FORM SKIN PEDICLE FLAP FACE,GEN,HAND",15574,8763.0
2210,31614,"TRACH REVISION,COMPLEX",31614,8762.0
2211,23174,"SEQUESTRECTOMY,HUMER HEAD-SURG NECK",23174,8756.0
2212,24495,"DECOMPRESS FOREARM,BRACH ART EXPLOR",24495,8752.0
2213,27335,"REMV SYNOVIUM KNEE,ANTER & POST",27335,8752.0
2214,33981,"REPLACE EXTRACORP VENT ASST DEV,SINGLE/BIVENT, 1/E",33981,8750.0
2215,32100,"THORACOTOMY,MAJOR,EXPLOR/BIOPSY",32100,8741.0
2216,49491,"REPAIR ING HERNIA,PRETERM INFANT,REDUC",49491,8738.0
2217,33955,ECMO/ECLS INSJ OF CENTRAL CANNULA BIRTH-5 YRS,33955,8737.0
2218,25355,"OSTEOTOMY RADIUS,PROX/MID THIRD",25355,8733.0
2219,51920,CLOSE BLADDER/UTERUS FISTULA,51920,8728.0
2220,22843,POSTERIOR SEGMENTAL INSTRUMENTATION 7-12 VRT SEG,22843,8724.0
2221,21137,"REDUC FOREHEAD,CONTOURING",21137,8722.0
2222,58700,REMOVAL OF FALLOPIAN TUBE,58700,8720.0
2223,55873,CRYOSURG ABLATION OF PROSTATE,55873,8715.0
2224,38381,"LIGATN THOR DUCT,THOR APPROACH",38381,8713.0
2225,33203,"INSERT EPICARDIAL ELECTRODE, ENDOSCOPIC",33203,8709.0
2226,57540,"REMV CERV STUMP,ABD APPRCH",57540,8705.0
2227,27705,OSTEOTOMY TIBIA,27705,8698.0
2228,27832,OPEN TX PROX TIBFIB JOINT DISLOCATE EXC PROX FIB,27832,8694.0
2229,32656,THORACOSCOPY SURG PART PLEURECTOMY,32656,8690.0
2230,36833,"AV FIST REVISE GRFT,W THROMBECTOMY",36833,8678.0
2231,24341,MUSC/TENDON REPAIR EACH; ARM/ELBOW,24341,8676.0
2232,32160,"THORACOTOMY,OPEN HEART MASSAGE",32160,8676.0
2233,33523,"CABG, ARTERY-VEIN, SIX+",33523,8675.0
2234,21270,AUGMENTATION CHEEK BONE,21270,8669.0
2235,32096,THORACTOMY W/DX BX LUNG INFILTRATE UNILATERAL,32096,8665.0
2236,32215,PLEURAL SCARIFICATN FOR MULT PTX,32215,8665.0
2237,35207,"REBL VES DIRECT,HAND/FINGR",35207,8661.0
2238,32097,THORACTOMY W/DX BX LUNG NODULE/MASS UNILATERAL,32097,8656.0
2239,27745,REINFORCE TIBIA,27745,8654.0
2240,26843,FUSION 2-5 CARPOMETACARPAL JT,26843,8652.0
2241,25265,"REFOREARM TEND/FLEX,SECOND,GRFT",25265,8651.0
2242,35693,"ART TRANSPOSITN,VERT-SUBCL",35693,8650.0
2243,59121,"TREAT ECTOPIC PREG,NON REMVAL",59121,8649.0
2244,59120,"TREAT ECTOPIC PREG,RMV TUBE/OVARY",59120,8648.0
2245,53445,"INSERT,INFLATABLE SPHINCTER",53445,8645.0
2246,31800,"REPAIR TRACH WOUND/INJ,CERVICAL",31800,8644.0
2247,57289,PEREYA PROC+ANTER COLPORRHAPHY,57289,8640.0
2248,15135,DERM AUTOGRAFT FACE/NCK/HND/FT/GEN <100 SQCM,15135,8631.0
2249,27691,XFER SINGLE DEEP LOW LEG TENDON,27691,8629.0
2250,29885,"KNEE SCOPE,DRILL OSTE DISSEC+GRFT",29885,8627.0
2251,24538,PERCUT FIX HUM SUPRACONDYLAR FX,24538,8626.0
2252,35371,THROMBOENDARTECTMY FEMORAL COMMON,35371,8625.0
2253,27524,OPEN RX PATELLA FX,27524,8624.0
2254,54692,"LAP,ORCHIOPEXY",54692,8619.0
2255,23440,REMV/TRANSPLANT LONG BICEPS TENDON,23440,8617.0
2256,29887,"KNEE SCOPE,DRILL OSTE DISS+INT FIX",29887,8616.0
2257,61737,PR LITT ICR MLT TRJ MLT/CPLX LS,61737,8615.0
2258,15572,"FORM SKIN PEDICLE FLAP SCALP,ARM,LEG",15572,8614.0
2259,26746,OPEN TX ARTICULAR FRACTURE MCP/IP JOINT EA,26746,8614.0
2260,43500,SURGICAL OPENING OF STOMACH,43500,8612.0
2261,32661,THORACOSCOPY SURG EXC PERICARD MASS,32661,8611.0
2262,24301,"MUSC/TENDON XFER,ARM/ELBOW,SINGLE",24301,8608.0
2263,27590,"AMPUTATE THIGH,THRU FEMUR",27590,8607.0
2264,27637,"EXCIS BENIGN LESN,TIB/FIB+AUTOGRFT",27637,8605.0
2265,26841,FUSION 1ST CARPOMETACARPAL JT,26841,8601.0
2266,27502,CLOSED RX FEMUR SHAFT FX+MANIP,27502,8601.0
2267,59409,"OBSTETRICAL CARE,VAG DELIV ONLY",59409,8600.0
2268,27252,"CLOSED RX TRAUMA HIP DISLOC,ANESTH",27252,8598.0
2269,21431,CLOSED TX LEFORTE III+WIRES,21431,8596.0
2270,53440,"SLING OPERATION,CORRECTION,MALE INCONT",53440,8592.0
2271,33025,INCIS HEART SAC WINDW FOR DRAIN,33025,8590.0
2272,67902,"FIX LID PTOSIS,FRONT MUSC,FAS SLNG",67902,8575.0
2273,67971,"RECONSTRUC EYELID,<2/3,ONE STAGE",67971,8575.0
2274,26862,FUSION/GRAFT FINGER JT,26862,8573.0
2275,27424,REVISION/REMOVAL OF KNEECAP,27424,8572.0
2276,21485,"REDUCE TEMPOROMANDIBL DISLOC,COMP",21485,8569.0
2277,57260,PR COMBINED ANT/POST COLPORRHAPHY INC CYSTO,57260,8568.0
2278,24134,"SEQUESTRECTOMY,MID/DIST HUMERUS",24134,8565.0
2279,26350,"REPAIR FLEXOR TENDON,HAND,W/O GRAFT,EA",26350,8564.0
2280,65235,"REMOVAL,FB,INTRAOCULAR,ANT CHAMBER/LENS",65235,8564.0
2281,21181,CONTOUR CRANIAL BONE LESION,21181,8563.0
2282,23430,REPAIR BICEPS LONG TENDON,23430,8563.0
2283,26117,RAD RESECT TUMOR SOFT TISSUE HAND/FINGER <3CM,26117,8563.0
2284,54304,"HYPOSPADIUS REPAIR,1ST STAGE",54304,8558.0
2285,57330,"CLOSE BLAD-VAG FIST,XVESC+VAG APPRCH",57330,8548.0
2286,23195,REMOVAL OF HEAD OF HUMERUS,23195,8548.0
2287,26536,"ARTHROPLASTY I-P JT,IMPLANT",26536,8548.0
2288,39010,PR MEDIAST W/EXPL DRG RMVL FB/BX TTHRC APPR,39010,8545.0
2289,21125,"AUGMENT LOWER JAW BONE,PROSTHETIC",21125,8537.0
